"coral1","coral2","CoralPair","pctMatch","pctNotNull","PartOfGenet"
"3_PCLI_011","3_PCLI_011","3_PCLI_011.3_PCLI_011",100,99.468085106383,"Yes"
"3_PCLI_011","3_PCLI_012","3_PCLI_011.3_PCLI_012",43.010752688172,98.936170212766,"No"
"3_PCLI_012","3_PCLI_012","3_PCLI_012.3_PCLI_012",100,99.468085106383,"Yes"
"3_PCLI_011","6_PCLI_005","3_PCLI_011.6_PCLI_005",45.6989247311828,98.936170212766,"No"
"3_PCLI_012","6_PCLI_005","3_PCLI_012.6_PCLI_005",44.0860215053763,98.936170212766,"No"
"6_PCLI_005","6_PCLI_005","6_PCLI_005.6_PCLI_005",100,99.468085106383,"Yes"
"6_PCLI_007","6_PCLI_005","6_PCLI_007.6_PCLI_005",41.6216216216216,98.4042553191489,"No"
"6_PCLI_008","6_PCLI_005","6_PCLI_008.6_PCLI_005",46.4864864864865,98.4042553191489,"No"
"BW5_PCLI_005a","6_PCLI_005","BW5_PCLI_005a.6_PCLI_005",41.0810810810811,98.4042553191489,"No"
"3_PCLI_011","6_PCLI_007","3_PCLI_011.6_PCLI_007",40.8602150537634,98.936170212766,"No"
"3_PCLI_012","6_PCLI_007","3_PCLI_012.6_PCLI_007",42.1621621621622,98.4042553191489,"No"
"6_PCLI_007","6_PCLI_007","6_PCLI_007.6_PCLI_007",100,98.936170212766,"Yes"
"BW5_PCLI_005a","6_PCLI_007","BW5_PCLI_005a.6_PCLI_007",46.4864864864865,98.4042553191489,"No"
"3_PCLI_011","6_PCLI_008","3_PCLI_011.6_PCLI_008",48.1081081081081,98.4042553191489,"No"
"3_PCLI_012","6_PCLI_008","3_PCLI_012.6_PCLI_008",42.1621621621622,98.4042553191489,"No"
"6_PCLI_007","6_PCLI_008","6_PCLI_007.6_PCLI_008",47.2826086956522,97.8723404255319,"No"
"6_PCLI_008","6_PCLI_008","6_PCLI_008.6_PCLI_008",100,98.936170212766,"Yes"
"BW5_PCLI_005a","6_PCLI_008","BW5_PCLI_005a.6_PCLI_008",46.195652173913,97.8723404255319,"No"
"3_PCLI_011","BW5_PCLI_005a","3_PCLI_011.BW5_PCLI_005a",49.4623655913978,98.936170212766,"No"
"3_PCLI_012","BW5_PCLI_005a","3_PCLI_012.BW5_PCLI_005a",49.7297297297297,98.4042553191489,"No"
"BW5_PCLI_005a","BW5_PCLI_005a","BW5_PCLI_005a.BW5_PCLI_005a",100,98.936170212766,"Yes"
"3_PCLI_011","Perfection_PCLI_002","3_PCLI_011.Perfection_PCLI_002",42.7027027027027,98.4042553191489,"No"
"3_PCLI_012","Perfection_PCLI_002","3_PCLI_012.Perfection_PCLI_002",43.2432432432432,98.4042553191489,"No"
"6_PCLI_005","Perfection_PCLI_002","6_PCLI_005.Perfection_PCLI_002",47.5675675675676,98.4042553191489,"No"
"6_PCLI_007","Perfection_PCLI_002","6_PCLI_007.Perfection_PCLI_002",42.3913043478261,97.8723404255319,"No"
"6_PCLI_008","Perfection_PCLI_002","6_PCLI_008.Perfection_PCLI_002",39.6739130434783,97.8723404255319,"No"
"BW5_PCLI_005a","Perfection_PCLI_002","BW5_PCLI_005a.Perfection_PCLI_002",51.6304347826087,97.8723404255319,"No"
"Perfection_PCLI_002","Perfection_PCLI_002","Perfection_PCLI_002.Perfection_PCLI_002",100,98.936170212766,"Yes"
"Perfection_PCLI_003","Perfection_PCLI_002","Perfection_PCLI_003.Perfection_PCLI_002",50.5494505494505,96.8085106382979,"No"
"Perfection_PCLI_004","Perfection_PCLI_002","Perfection_PCLI_004.Perfection_PCLI_002",40.6593406593407,96.8085106382979,"No"
"Perfection_PCLI_005","Perfection_PCLI_002","Perfection_PCLI_005.Perfection_PCLI_002",47.5409836065574,97.3404255319149,"No"
"3_PCLI_011","Perfection_PCLI_003","3_PCLI_011.Perfection_PCLI_003",49.1803278688525,97.3404255319149,"No"
"3_PCLI_012","Perfection_PCLI_003","3_PCLI_012.Perfection_PCLI_003",41.5300546448087,97.3404255319149,"No"
"6_PCLI_005","Perfection_PCLI_003","6_PCLI_005.Perfection_PCLI_003",48.6338797814208,97.3404255319149,"No"
"6_PCLI_007","Perfection_PCLI_003","6_PCLI_007.Perfection_PCLI_003",46.448087431694,97.3404255319149,"No"
"6_PCLI_008","Perfection_PCLI_003","6_PCLI_008.Perfection_PCLI_003",48.9010989010989,96.8085106382979,"No"
"BW5_PCLI_005a","Perfection_PCLI_003","BW5_PCLI_005a.Perfection_PCLI_003",53.2967032967033,96.8085106382979,"No"
"Perfection_PCLI_003","Perfection_PCLI_003","Perfection_PCLI_003.Perfection_PCLI_003",100,97.8723404255319,"Yes"
"3_PCLI_011","Perfection_PCLI_004","3_PCLI_011.Perfection_PCLI_004",50.5434782608696,97.8723404255319,"No"
"3_PCLI_012","Perfection_PCLI_004","3_PCLI_012.Perfection_PCLI_004",34.9726775956284,97.3404255319149,"No"
"6_PCLI_005","Perfection_PCLI_004","6_PCLI_005.Perfection_PCLI_004",46.9945355191257,97.3404255319149,"No"
"6_PCLI_007","Perfection_PCLI_004","6_PCLI_007.Perfection_PCLI_004",43.1693989071038,97.3404255319149,"No"
"6_PCLI_008","Perfection_PCLI_004","6_PCLI_008.Perfection_PCLI_004",44.5054945054945,96.8085106382979,"No"
"BW5_PCLI_005a","Perfection_PCLI_004","BW5_PCLI_005a.Perfection_PCLI_004",43.7158469945355,97.3404255319149,"No"
"Perfection_PCLI_003","Perfection_PCLI_004","Perfection_PCLI_003.Perfection_PCLI_004",46.6666666666667,95.7446808510638,"No"
"Perfection_PCLI_004","Perfection_PCLI_004","Perfection_PCLI_004.Perfection_PCLI_004",100,97.8723404255319,"Yes"
"3_PCLI_011","Perfection_PCLI_005","3_PCLI_011.Perfection_PCLI_005",47.027027027027,98.4042553191489,"No"
"3_PCLI_012","Perfection_PCLI_005","3_PCLI_012.Perfection_PCLI_005",50,97.8723404255319,"No"
"6_PCLI_005","Perfection_PCLI_005","6_PCLI_005.Perfection_PCLI_005",47.2826086956522,97.8723404255319,"No"
"6_PCLI_007","Perfection_PCLI_005","6_PCLI_007.Perfection_PCLI_005",50.5434782608696,97.8723404255319,"No"
"6_PCLI_008","Perfection_PCLI_005","6_PCLI_008.Perfection_PCLI_005",45.3551912568306,97.3404255319149,"No"
"BW5_PCLI_005a","Perfection_PCLI_005","BW5_PCLI_005a.Perfection_PCLI_005",52.1739130434783,97.8723404255319,"No"
"Perfection_PCLI_003","Perfection_PCLI_005","Perfection_PCLI_003.Perfection_PCLI_005",47.8021978021978,96.8085106382979,"No"
"Perfection_PCLI_004","Perfection_PCLI_005","Perfection_PCLI_004.Perfection_PCLI_005",48.3516483516484,96.8085106382979,"No"
"Perfection_PCLI_005","Perfection_PCLI_005","Perfection_PCLI_005.Perfection_PCLI_005",100,98.4042553191489,"Yes"
